intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
-1.3401637217740079,0,0,7.12977665662713,-4.330223226448204,-1.8097915232600483,0.8796255776864396,3.1914864850813007,,,,,
5.232047056085598,0,1,-5.877838653967812,3.654875738803129,1.5918114709710893,-0.6911182480383945,-2.399855517726505,,,,,
-0.013185156090356085,0,2,-5.113063982798131,3.8966011425989815,0.5515984318094049,0.3904700859226729,0.7346516908491812,,,,,
-0.18065683253926673,0,3,-3.66408423130234,3.544035400169222,-0.2265475238734954,-2.0552712339127748,1.4403417223447776,,,,,
0.5460156425942571,0,4,-3.940439034735317,-0.5888530894258954,-0.35608184376988244,3.914748613892932,-0.5115063434268247,,,,,
0.8587184728801432,0,5,-6.649624876046112,0.8097604327011132,0.34201492864663996,4.905132611245042,-0.5143987764291864,,,,,
-0.5205203871012001,0,6,-0.5588419530894879,-0.24755281833663578,-0.3797887898338975,-0.24708299091973854,-0.23810782510132916,,,,,
-0.38455464099210956,0,7,0.4630617875105688,0.03130667471456479,0.018000693305861133,-0.5087788273571446,0.02537776932117981,,,,,
-0.5752470338929656,0,8,0.12786878288557038,-0.08606148073875397,0.1168663113177909,0.23297878783063858,0.059069236752254214,,,,,
-0.22094159717453166,0,9,0.2631259870908779,-0.26400902580741753,-0.5735531520385584,-0.0756824100825712,-0.39852912548814157,,,,,
7.999821108415971,1,0,-1.3872616292169673,-1.8578449647026207,3.180756529573814,-3.5281357769374786,-6.66247099389152,4.40233019058267,-0.5302544088932866,0.44626035100177985,-0.6282696094826037,0.7189957182343267
